ShipNo|ShipNAme|Shipweight|Shipyear|Shipcapacity
2224|Chava|72439|2000|30
2130|Orla|72017|2006|38
2216|Jessica|80105|2012|43
2088|Eleanor|59707|2006|45
2279|Lesley|40004|2001|43
2287|Ocean|60204|2001|45
2166|Iona|73670|2003|36
2238|Claudia|29581|2011|39
2091|Libby|27668|2007|33
2212|Ashely|68661|2015|38
2153|Tallulah|29878|2003|39
2121|Juliet|68953|2001|47
2068|Sonia|25774|2003|37
2116|Quon|33906|2007|33
2047|Reagan|39222|2008|47
2208|Lareina|12561|2014|41
2007|Tatum|89482|2011|39
2279|Rina|48950|2002|40
2300|Zia|17887|2008|30
2118|Eve|56490|2002|45
2016|Naida|13069|2001|42
2101|Zena|84398|2012|25
2167|Tatum|12739|2004|46
2231|Bryar|65423|2012|22
2157|Jaime|82512|2003|39
2295|Bryar|15567|2014|41
2093|Cheryl|75115|2002|47
2134|Kelly|15596|2015|31
2139|Dai|88688|2001|40
2283|Fredericka|72850|2014|43
2288|Charissa|80441|2009|38
2148|Kalia|70583|2008|36
2239|Ginger|66062|2004|32
2195|Fiona|51512|2009|37
2087|Stacey|50630|2000|38
2069|Sigourney|23244|2014|50
2006|Veda|85356|2005|50
2141|Melinda|46165|2010|28
2041|Xandra|21618|2012|35
2293|Denise|50637|2013|46
2291|Astra|29506|2007|48
2111|Haley|40955|2015|36
2133|Bell|44905|2009|47
2028|Hannah|67162|2005|40
2002|Jessica|47221|2011|30
2027|Rosalyn|17490|2007|38
2092|Ginger|33508|2013|46
2089|Jade|14291|2002|49
2184|Brenda|85045|2005|48
2301|Sylvia|65699|2004|31
2167|Jolie|12684|2012|42
2291|Sheila|11109|2006|47
2188|Bethany|58989|2010|30
2287|Dacey|70600|2008|32
2183|Tashya|39371|2006|45
2254|Joelle|74122|2003|27
2254|Alea|18109|2014|29
2204|Lucy|12023|2014|35
2035|Dara|51980|2008|44
2204|Brynne|82116|2003|44
2080|Fiona|59211|2000|36
2263|Claire|22486|2015|48
2027|Eden|58879|2014|45
2042|Clio|89996|2003|31
2237|Vera|41247|2015|43
2092|Amity|75828|2015|44
2293|Katell|88826|2002|31
2206|Margaret|19161|2009|48
2176|Alexandra|79972|2004|34
2207|Iris|40042|2007|48
2219|Elaine|34267|2013|37
2070|Emi|55802|2013|40
2032|Kendall|83774|2008|49
2160|Odette|86560|2012|43
2283|Wynne|71122|2000|42
2239|Savannah|29842|2003|48
2077|Eugenia|89367|2002|34
2023|Aubrey|56818|2004|41
2293|Pamela|81174|2007|32
2249|Mallory|48375|2008|45
2168|Brynn|30800|2003|41
2227|Kiara|35294|2006|24
2272|Dora|47121|2014|23
2130|Dai|89126|2000|47
2230|Sybil|50987|2004|23
2182|Cherokee|20711|2003|39
2172|Jeanette|86256|2015|30
2222|Hannah|56312|2006|24
2262|Lavinia|14886|2004|38
2069|Eve|26475|2011|35
2154|Elizabeth|23908|2008|28
2267|Jaden|25152|2007|47
2131|Madeline|86337|2010|23
2202|Yael|79812|2001|31
2168|Tasha|82321|2011|24
2118|Kiona|53458|2004|36
2230|Fleur|27271|2012|32
2153|Germane|58142|2008|43
2226|Haviva|26536|2015|33
2059|Guinevere|80478|2006|31
